Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
49,-53.0017,258,311,2.1019,1.76239,1.7128,0.038147,0.0495911,30,0.038147,0.12207,3,99
50,-54.0012,256,342,2.08664,1.81961,1.79291,0.0343323,0.0267029,32,0.0495911,0.18692,3,99
51,-55.0008,347,324,1.9455,0.934601,0.919342,0.0152588,0.0152588,33,0.0228882,0.0610352,3,99
52,-56.0015,251,325,2.09045,1.88065,1.83105,0.0572205,0.0495911,33,0.0457764,0.148773,3,99
53,-57,340,332,1.95312,0.984192,0.968933,0.0152588,0.0152588,33,0.0267029,0.0686646,3,99
54,-58.0017,258,318,2.12097,1.75476,1.72043,0.0419617,0.0343323,33,0.0419617,0.137329,3,99
55,-59.0023,262,318,1.7662,2.04086,2.01416,0.0305176,0.0267029,32,0.0534058,0.141144,3,99
56,-60.0023,270,313,1.55258,2.14386,2.12097,0.0267029,0.0228882,32,0.038147,0.12207,3,99
57,-61.0002,312,318,1.39618,1.80817,1.76239,0.0648499,0.0457764,32,0.0534058,0.179291,3,99
58,-62.0004,326,331,1.31226,1.75476,1.72043,0.0457764,0.0343323,34,0.0495911,0.198364,3,99
59,-63.0014,273,323,2.5444,1.11771,1.09482,0.0228882,0.0228882,35,0.0419617,0.137329,3,99
60,-64.0007,358,325,1.31989,1.47247,1.44958,0.0305176,0.0228882,35,0.038147,0.205994,3,99
61,-65.0014,288,324,2.37274,1.091,1.06049,0.0228882,0.0305176,35,0.0457764,0.137329,3,99
62,-66.0015,274,311,2.66266,0.976562,0.961304,0.0228882,0.0152588,35,0.038147,0.114441,3,98
63,-67.0017,294,322,2.1286,1.26648,1.23596,0.0305176,0.0305176,35,0.0457764,0.137329,3,98
64,-68.002,288,326,1.77765,1.6861,1.65558,0.0457764,0.0305176,36,0.0610352,0.274658,3,98
65,-69.0003,347,314,2.1286,0.747681,0.740051,0.0228882,0.00762939,36,0.0228882,0.0534058,3,98
66,-70.0005,334,331,1.62506,1.36566,1.3504,0.0228882,0.0152588,35,0.038147,0.114441,3,98
67,-71.0003,358,307,1.34277,1.44958,1.43433,0.0228882,0.0152588,35,0.038147,0.114441,3,98
68,-72.0015,273,338,2.50244,1.15204,1.13678,0.0305176,0.0152588,36,0.038147,0.152588,3,98
69,-73.0002,347,320,1.93787,0.938416,0.923157,0.0228882,0.0152588,38,0.0228882,0.0762939,3,98
70,-74.0011,312,321,2.41089,0.785828,0.770569,0.0152588,0.0152588,38,0.0228882,0.0534058,3,98
71,-75.002,268,329,2.2583,1.46484,1.41144,0.0457764,0.0534058,38,0.038147,0.144958,3,98
72,-76.002,283,327,1.4267,2.10571,2.08282,0.0305176,0.0228882,38,0.0305176,0.152588,3,98
73,-77.0012,269,325,1.79291,1.92261,1.89972,0.0305176,0.0228882,37,0.0610352,0.267029,3,98
74,-78.003,283,338,1.59454,1.93024,1.90735,0.0305176,0.0228882,37,0.0534058,0.152588,3,98
75,-79.0017,266,326,2.25067,1.49536,1.46484,0.0228882,0.0305176,36,0.038147,0.1297,3,98
76,-80.0009,264,308,2.388,1.38855,1.37329,0.0305176,0.0152588,37,0.038147,0.12207,3,98
77,-81.0001,361,351,1.98364,0.785828,0.770569,0.0152588,0.0152588,37,0.0228882,0.0610352,3,98
78,-82.0015,266,324,2.39563,1.3504,1.32751,0.0228882,0.0228882,37,0.038147,0.12207,3,98
79,-83.0002,331,321,1.44958,1.56403,1.54877,0.0228882,0.0152588,38,0.0305176,0.106812,3,98
80,-84.0031,244,309,2.33459,1.74713,1.73187,0.0152588,0.0152588,38,0.0305176,0.0915527,3,97
81,-85.0008,256,331,2.53296,1.37329,1.35803,0.0228882,0.0152588,38,0.038147,0.12207,3,97
82,-86.0002,343,309,2.14386,0.770569,0.75531,0.0152588,0.0152588,37,0.0228882,0.0534058,3,97
83,-87.0022,261,329,1.8158,2.01416,1.98364,0.0305176,0.0305176,35,0.0534058,0.160217,3,97
84,-88.0007,387,317,0.289917,2.28882,2.26593,0.0228882,0.0228882,34,0.0457764,0.12207,3,97
85,-89.0003,372,319,0.587463,2.09808,2.06757,0.0534058,0.0305176,34,0.0457764,0.350952,3,97
86,-90.0021,259,296,1.78528,2.06757,2.04468,0.0305176,0.0228882,33,0.0610352,0.183105,3,96
87,-91.0017,383,340,0.495911,2.11334,2.0752,0.038147,0.038147,32,0.038147,0.144958,3,96
88,-92.0009,349,311,1.34277,1.51825,1.4801,0.0457764,0.038147,31,0.0457764,0.183105,3,96
89,-93.0002,337,308,1.4801,1.4801,1.44958,0.038147,0.0305176,32,0.038147,0.144958,3,96
90,-94.0006,463,312,0.289917,1.8692,1.84631,0.0305176,0.0228882,31,0.0457764,0.1297,3,96
91,-95.0029,231,321,2.15149,2.16675,2.13623,0.0305176,0.0305176,30,0.0457764,0.267029,3,96
92,-96.0017,268,323,1.96838,1.76239,1.71661,0.0305176,0.0457764,30,0.038147,0.1297,3,97
93,-97.0032,249,314,1.86157,2.14386,2.12097,0.0305176,0.0228882,31,0.144958,0.213623,3,98
94,-98.0014,319,316,1.33514,1.79291,1.76239,0.038147,0.0305176,31,0.0457764,0.167847,3,98
95,-99.0006,350,335,0.953674,1.89972,1.86157,0.0457764,0.038147,32,0.0534058,0.228882,3,98
96,-100.001,246,316,2.17438,1.88446,1.85394,0.0305176,0.0305176,34,0.0534058,0.228882,3,99
97,-101.002,277,307,0.907898,2.70081,2.67029,0.0305176,0.0305176,34,0.0305176,0.0991821,3,99
98,-102.001,319,319,1.6098,1.51825,1.48773,0.0305176,0.0305176,32,0.038147,0.0991821,3,99
99,-103.003,277,328,1.72424,1.88446,1.8692,0.0228882,0.0152588,34,0.0457764,0.167847,3,99
100,-104.003,272,310,1.8158,1.85394,1.83105,0.0305176,0.0228882,35,0.0457764,0.137329,3,99
101,-105,318,330,1.38855,1.75476,1.72424,0.0305176,0.0305176,35,0.0457764,0.175476,3,99
102,-106.002,261,325,2.41852,1.40381,1.38092,0.0305176,0.0228882,33,0.0457764,0.144958,3,99
103,-107.002,269,323,1.7395,1.96838,1.93787,0.038147,0.0305176,33,0.0457764,0.144958,3,99
104,-108,343,317,1.46484,1.44958,1.41907,0.0305176,0.0305176,33,0.038147,0.114441,3,99
105,-109.001,250,318,2.15912,1.83868,1.80817,0.038147,0.0305176,33,0.0534058,0.183105,3,99
106,-110.001,344,331,0.991821,1.91498,1.87683,0.038147,0.038147,33,0.0610352,0.213623,3,99
107,-111.002,263,300,2.04468,1.74713,1.70898,0.038147,0.038147,34,0.0839233,0.282288,3,99
108,-112.001,361,344,0.579834,2.18964,2.1286,0.0305176,0.0610352,35,0.0915527,0.282288,3,99
109,-113.001,343,323,1.05286,1.86157,1.83105,0.0534058,0.0305176,34,0.0762939,0.244141,3,99
110,-114.002,264,318,1.24359,2.53296,2.50244,0.0305176,0.0305176,36,0.152588,0.160217,3,99
111,-115.001,329,307,1.50299,1.53351,1.49536,0.0305176,0.038147,36,0.0457764,0.12207,3,99
112,-116.002,254,326,2.15149,1.77765,1.73187,0.0457764,0.0457764,37,0.0457764,0.160217,3,99
113,-117.001,313,320,1.20544,1.98364,1.92261,0.0457764,0.0610352,38,0.0534058,0.282288,3,99
114,-118.002,250,313,2.1286,1.86157,1.83868,0.038147,0.0228882,38,0.0610352,0.213623,3,99
115,-119.001,324,325,2.03705,1.04523,1.01471,0.0228882,0.0305176,39,0.0305176,0.137329,3,99
116,-120.002,274,324,1.67847,1.96075,1.93787,0.0228882,0.0228882,37,0.0610352,0.144958,3,99
117,-121.003,253,314,2.17438,1.77765,1.75476,0.0305176,0.0228882,37,0.0610352,0.152588,3,99
118,-122.003,248,304,2.16675,1.86157,1.83868,0.0228882,0.0228882,35,0.0457764,0.160217,3,99
119,-123.003,270,315,1.41144,2.28119,2.26593,0.0152588,0.0152588,34,0.038147,0.0686646,3,99
120,-124.002,265,319,1.64795,2.12097,2.09045,0.0305176,0.0305176,34,0.0534058,0.160217,3,99
121,-125.002,244,315,1.82343,2.27356,2.24304,0.0305176,0.0305176,35,0.0534058,0.152588,3,99
122,-126.001,345,319,1.0376,1.85394,1.82343,0.038147,0.0305176,35,0.0686646,0.25177,3,99
123,-127.001,322,325,2.15912,0.938416,0.923157,0.0152588,0.0152588,33,0.0228882,0.0686646,3,99
124,-128.002,277,325,1.58691,2.01416,1.98364,0.0152588,0.0305176,33,0.0610352,0.152588,3,99
125,-129,125,332,5.67627,2.27356,2.24304,0.0305176,0.0305176,34,0.0610352,0.137329,3,99
126,-130.003,78,342,10.8643,1.84631,1.83105,0.0305176,0.0152588,33,0.0305176,0.137329,3,99
127,-131.001,242,322,2.89917,1.2207,1.20544,0.0305176,0.0152588,33,0.0305176,0.0915527,3,99
128,-132.002,260,302,1.77002,2.0752,2.02942,0.0305176,0.0457764,33,0.0457764,0.12207,3,99
129,-133.002,267,307,1.41907,2.31934,2.28882,0.0305176,0.0305176,34,0.0457764,0.152588,3,99
130,-134.002,297,324,1.08337,2.27356,2.24304,0.0305176,0.0305176,33,0.0457764,0.244141,3,99
131,-135.001,256,316,2.15149,1.75476,1.72424,0.0305176,0.0305176,33,0.0610352,0.152588,3,99
132,-136.001,318,314,2.28882,0.854492,0.839233,0.0152588,0.0152588,33,0.0152588,0.0610352,3,99
133,-137.003,266,322,2.2583,1.49536,1.46484,0.0152588,0.0305176,33,0.0305176,0.0915527,3,99
134,-138.001,254,329,2.45667,1.4801,1.44958,0.0152588,0.0305176,33,0.0305176,0.12207,3,99
135,-139.001,254,312,2.27356,1.66321,1.63269,0.0305176,0.0305176,33,0.0457764,0.137329,3,99
136,-140.003,267,323,1.46484,2.27356,2.2583,0.0305176,0.0152588,33,0.0457764,0.106812,3,99
137,-141.001,343,315,1.11389,1.80054,1.77002,0.0457764,0.0305176,31,0.0457764,0.213623,3,99
138,-142.003,257,300,2.31934,1.57166,1.5564,0.0152588,0.0152588,31,0.0152588,0.0762939,3,99
139,-143.002,263,316,2.36511,1.43433,1.40381,0.0152588,0.0305176,31,0.0305176,0.106812,3,99
140,-144,334,324,1.51062,1.4801,1.46484,0.0305176,0.0152588,31,0.0457764,0.12207,3,99
141,-145.002,276,320,1.7395,1.87683,1.83105,0.0457764,0.0457764,33,0.0457764,0.198364,3,99
142,-146.001,270,313,1.7395,1.95312,1.92261,0.0305176,0.0305176,34,0.0610352,0.213623,3,99
143,-147,409,308,0.289917,2.15149,2.12097,0.0305176,0.0305176,32,0.0457764,0.12207,3,99
144,-148.001,258,330,2.12097,1.75476,1.72424,0.0305176,0.0305176,34,0.0457764,0.167847,3,99
145,-149.002,242,309,2.82288,1.297,1.26648,0.0305176,0.0305176,34,0.0457764,0.152588,3,99
146,-150.001,276,328,1.70898,1.90735,1.89209,0.0305176,0.0152588,34,0.0610352,0.228882,3,99
147,-151.002,344,268,1.41907,1.4801,1.46484,0.0305176,0.0152588,34,0.0305176,0.0610352,3,99
148,-152,196,311,3.70789,1.38855,1.37329,0.0305176,0.0152588,35,0.0457764,0.106812,3,99
149,-153.001,240,357,2.80762,1.35803,1.32751,0.0152588,0.0305176,35,0.0305176,0.106812,3,99
150,-154.003,273,285,2.16675,1.49536,1.4801,0.0152588,0.0152588,35,0.0305176,0.0762939,3,99
151,-155.003,248,377,2.5177,1.51062,1.49536,0.0762939,0.0152588,35,0.0305176,0.0915527,3,99
152,-156.001,312,244,1.80054,1.40381,1.38855,0.0152588,0.0152588,36,0.0305176,0.12207,3,99
153,-157.001,318,306,1.52588,1.61743,1.58691,0.0305176,0.0305176,36,0.0457764,0.152588,3,99
154,-158.001,297,319,2.41089,0.946045,0.930786,0.0152588,0.0152588,36,0.0305176,0.0762939,3,99
155,-159.001,268,323,2.18201,1.54114,1.51062,0.0305176,0.0305176,36,0.0457764,0.137329,3,99
156,-160.003,268,301,1.8158,1.90735,1.87683,0.0152588,0.0305176,34,0.0610352,0.167847,3,99
157,-161.002,260,323,2.02942,1.8158,1.77002,0.0305176,0.0457764,34,0.0457764,0.137329,3,99
158,-162.002,262,297,2.33459,1.4801,1.43433,0.0305176,0.0457764,34,0.0610352,0.167847,3,99
159,-163,315,317,1.44958,1.72424,1.70898,0.0305176,0.0152588,34,0.0457764,0.106812,3,99
160,-164.002,268,319,2.50244,1.2207,1.19019,0.0305176,0.0305176,35,0.0457764,0.137329,3,99
161,-165.003,234,303,2.50244,1.75476,1.7395,0.0305176,0.0152588,35,0.0457764,0.167847,3,99
162,-166.003,258,321,1.08337,2.79236,2.76184,0.0305176,0.0305176,36,0.0610352,0.213623,3,100
163,-167.001,248,336,1.87683,2.15149,2.12097,0.0305176,0.0305176,35,0.0610352,0.350952,3,100
164,-168.001,356,316,1.35803,1.44958,1.40381,0.0305176,0.0457764,35,0.0457764,0.152588,3,100
165,-169.001,370,314,0.549316,2.15149,2.12097,0.0457764,0.0305176,34,0.0457764,0.335693,3,100
166,-170.001,248,294,2.21252,1.8158,1.78528,0.0305176,0.0305176,34,0.0762939,0.167847,3,100
167,-171.001,292,318,2.48718,0.930786,0.915527,0.0152588,0.0152588,34,0.0305176,0.0610352,3,100
168,-172.002,259,301,2.65503,1.20544,1.17493,0.0305176,0.0305176,34,0.0457764,0.12207,3,100
169,-173.002,254,299,2.16675,1.77002,1.7395,0.0457764,0.0305176,34,0.0457764,0.152588,3,99
170,-174,299,301,1.51062,1.83105,1.80054,0.0305176,0.0305176,35,0.0457764,0.167847,3,99
171,-175,322,324,1.35803,1.7395,1.70898,0.0152588,0.0305176,34,0.0457764,0.152588,3,99
172,-176.002,260,303,1.19019,2.65503,2.60925,0.0305176,0.0457764,33,0.0457764,0.183105,3,99
173,-177.002,250,305,1.78528,2.21252,2.19727,0.0305176,0.0152588,33,0.0457764,0.274658,3,99
174,-178.001,329,297,2.0752,0.961304,0.946045,0.0152588,0.0152588,32,0.0152588,0.0762939,3,99
175,-179.001,329,312,2.0752,0.961304,0.946045,0.0152588,0.0152588,33,0.0305176,0.0610352,3,99
176,-180.001,329,303,1.64795,1.38855,1.37329,0.0305176,0.0152588,33,0.0457764,0.106812,3,99
177,-181.002,261,335,1.66321,2.16675,2.13623,0.0305176,0.0305176,32,0.0457764,0.259399,3,99
178,-182.001,295,328,1.54114,1.84631,1.8158,0.0457764,0.0305176,32,0.0457764,0.198364,3,99
179,-183.002,253,312,1.92261,2.02942,1.9989,0.0305176,0.0305176,31,0.0915527,0.106812,3,99
180,-184.003,235,310,2.21252,2.02942,1.9989,0.0305176,0.0305176,32,0.0457764,0.12207,3,99
181,-185.001,356,300,0.732422,2.0752,2.01416,0.0610352,0.0610352,32,0.0610352,0.274658,3,99
182,-186,319,286,1.38855,1.7395,1.70898,0.0305176,0.0305176,32,0.0457764,0.137329,3,100
183,-187.002,260,309,2.10571,1.7395,1.69373,0.0305176,0.0457764,32,0.0457764,0.137329,3,100
184,-188.001,334,294,2.01416,0.976562,0.961304,0.0305176,0.0152588,35,0.0305176,0.0762939,3,100
185,-189.001,336,313,0.915527,2.05994,2.01416,0.0457764,0.0457764,35,0.0457764,0.259399,3,101
186,-190.002,245,309,2.24304,1.83105,1.78528,0.0457764,0.0457764,37,0.106812,0.198364,3,101
187,-191.003,275,309,1.32751,2.30408,2.28882,0.0152588,0.0152588,37,0.0305176,0.0915527,3,101
188,-192.001,247,310,2.18201,1.86157,1.83105,0.0305176,0.0305176,37,0.0610352,0.183105,3,102
189,-193.001,287,311,1.69373,1.78528,1.7395,0.0305176,0.0457764,37,0.0610352,0.183105,3,103
190,-194.003,273,315,1.63269,2.02942,1.9989,0.0457764,0.0305176,37,0.0610352,0.213623,3,103
191,-195.007,248,255,0.991821,3.0365,3.00598,0.0762939,0.0305176,38,0.0457764,0.152588,3,103
192,-196.003,253,226,2.30408,1.64795,1.61743,0.0305176,0.0305176,36,0.0457764,0.12207,3,103
193,-197.001,330,308,1.20544,1.8158,1.78528,0.0305176,0.0305176,37,0.0457764,0.152588,3,103
194,-198.001,303,278,1.72424,1.57166,1.54114,0.0152588,0.0305176,36,0.0457764,0.12207,3,104
195,-199.001,344,299,1.08337,1.8158,1.77002,0.0305176,0.0457764,36,0.0457764,0.213623,3,104
196,-200.001,297,300,0.717163,2.63977,2.62451,0.0305176,0.0152588,35,0.0457764,0.12207,3,105
197,-201.003,252,291,1.92261,2.04468,1.9989,0.0152588,0.0457764,35,0.0457764,0.106812,3,105
198,-202.002,273,332,1.77002,1.89209,1.86157,0.0305176,0.0305176,35,0.0610352,0.213623,3,105
199,-203.003,248,288,0.671387,3.35693,3.32642,0.0305176,0.0305176,35,0.366211,0.350952,3,105
200,-204.001,257,311,1.67847,2.21252,2.19727,0.0457764,0.0152588,35,0.0610352,0.152588,3,105
201,-205.002,283,305,1.297,2.22778,2.19727,0.0305176,0.0305176,35,0.0457764,0.167847,3,105
202,-206,321,300,1.34277,1.77002,1.75476,0.0305176,0.0152588,33,0.0457764,0.106812,3,105
203,-207.003,241,299,2.16675,1.96838,1.93787,0.0305176,0.0305176,34,0.0457764,0.152588,3,105
204,-208.001,245,320,1.96838,2.10571,2.0752,0.0305176,0.0305176,34,0.0457764,0.137329,3,105
205,-209.003,293,303,1.17493,2.22778,2.19727,0.0152588,0.0305176,34,0.0457764,0.12207,3,106
206,-210.002,250,309,2.47192,1.52588,1.49536,0.0457764,0.0305176,34,0.0305176,0.167847,3,106
207,-211.003,238,306,2.24304,1.95312,1.92261,0.0305176,0.0305176,35,0.0457764,0.0915527,3,106
208,-212.001,165,311,3.70789,2.33459,2.30408,0.0152588,0.0305176,36,0.0610352,0.137329,3,106
209,-213.002,297,295,1.40381,1.95312,1.92261,0.0305176,0.0305176,36,0.0610352,0.183105,3,106
210,-214,309,297,2.2583,0.976562,0.961304,0.0305176,0.0152588,35,0.0152588,0.0762939,3,106
211,-215.003,225,295,2.18201,2.24304,2.21252,0.0457764,0.0305176,34,0.0457764,0.335693,3,106
212,-216.003,270,298,1.57166,2.12097,2.0752,0.0457764,0.0457764,34,0.0457764,0.213623,3,106
213,-217,259,290,1.86157,1.9989,1.95312,0.0610352,0.0457764,34,0.0457764,0.274658,3,106
214,-218,263,278,1.57166,2.22778,2.19727,0.0305176,0.0305176,37,0.0457764,0.167847,3,106
215,-219.003,249,313,1.95312,2.05994,2.04468,0.0305176,0.0152588,38,0.0457764,0.152588,3,106
216,-220.003,268,290,1.34277,2.38037,2.34985,0.0305176,0.0305176,37,0.0457764,0.152588,3,106
217,-221.001,318,303,1.14441,1.9989,1.96838,0.0457764,0.0305176,36,0.0610352,0.198364,3,106
218,-222,321,278,1.26648,1.84631,1.8158,0.0305176,0.0305176,38,0.0457764,0.12207,3,107
219,-223,303,296,1.25122,2.04468,2.01416,0.0457764,0.0305176,38,0.0457764,0.228882,3,107
220,-224.002,240,290,2.33459,1.8158,1.78528,0.0457764,0.0305176,36,0.0457764,0.183105,3,107
221,-225.002,240,304,1.96838,2.19727,2.15149,0.0305176,0.0457764,36,0.0457764,0.396729,3,107
222,-226.001,297,286,1.297,2.05994,2.04468,0.0305176,0.0152588,37,0.0610352,0.152588,3,107
223,-227.001,303,297,1.15967,2.13623,2.10571,0.0305176,0.0305176,37,0.0762939,0.183105,3,107
224,-228.002,252,322,2.50244,1.46484,1.44958,0.0305176,0.0152588,37,0.0305176,0.12207,3,107
225,-229.001,356,274,0.778198,2.02942,1.98364,0.0305176,0.0457764,36,0.0305176,0.244141,3,107
226,-230,299,297,1.63269,1.70898,1.67847,0.0305176,0.0305176,36,0.0610352,0.167847,3,107
227,-231.003,273,312,1.80054,1.86157,1.83105,0.0305176,0.0305176,38,0.0457764,0.12207,3,107
228,-232.002,247,299,2.18201,1.86157,1.8158,0.0915527,0.0457764,37,0.0305176,0.106812,3,107
229,-233.002,251,299,1.98364,1.9989,1.96838,0.0457764,0.0305176,37,0.0610352,0.213623,3,107
230,-234.001,316,271,0.411987,2.74658,2.71606,0.0305176,0.0305176,37,0.0457764,0.274658,3,107
231,-235.003,247,290,1.9989,2.04468,1.9989,0.0305176,0.0457764,34,0.0457764,0.137329,3,107
232,-236,150,289,4.92859,1.70898,1.69373,0.0305176,0.0152588,34,0.0610352,0.12207,3,107
233,-237.002,237,301,2.31934,1.89209,1.86157,0.0305176,0.0305176,33,0.0457764,0.228882,3,106
234,-238,313,316,1.41907,1.77002,1.7395,0.0305176,0.0305176,33,0.0610352,0.137329,3,106
235,-239,270,289,1.34277,2.34985,2.31934,0.0305176,0.0305176,33,0.0457764,0.106812,3,106
236,-240.002,257,313,1.83105,2.05994,2.01416,0.0457764,0.0457764,33,0.0457764,0.152588,3,106
237,-241.001,313,308,1.34277,1.84631,1.8158,0.0305176,0.0305176,33,0.0457764,0.198364,3,106
238,-242.001,316,295,1.17493,1.98364,1.95312,0.0457764,0.0305176,33,0.0610352,0.213623,3,106
239,-243.003,252,281,1.60217,2.36511,2.33459,0.0305176,0.0305176,33,0.0457764,0.137329,3,106
240,-244.001,392,326,0.534058,2.01416,1.98364,0.0152588,0.0305176,33,0.0610352,0.335693,3,106
241,-245,87,274,10.3302,1.15967,1.14441,0.0305176,0.0152588,33,0.0305176,0.0915527,3,106
242,-246.003,233,215,2.53296,1.75476,1.7395,0.0152588,0.0152588,32,0.0305176,0.0762939,3,106
243,-247.002,243,303,2.97546,1.12915,1.11389,0.0305176,0.0152588,32,0.0305176,0.0610352,3,106
244,-248.001,302,272,2.16675,1.14441,1.12915,0.0305176,0.0152588,33,0.0305176,0.0762939,3,106
245,-249.002,253,301,0.289917,3.66211,3.64685,0.0305176,0.0152588,33,0.0457764,0.106812,3,106
246,-250.002,336,323,0.442505,2.53296,2.50244,0.0305176,0.0305176,33,0.0610352,0.244141,3,106
247,-251.002,217,304,2.50244,2.09045,2.0752,0.0305176,0.0152588,33,0.0457764,0.106812,3,106
248,-252.001,343,273,1.52588,1.38855,1.37329,0.0305176,0.0152588,35,0.0305176,0.0915527,3,106
249,-253.003,243,256,1.87683,2.22778,2.19727,0.0305176,0.0305176,35,0.0457764,0.12207,3,107
