Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
70,0,1083,1036,0.541687,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
71,0,963,758,0.572205,0.465393,0.0152588,0.137329,35,0.0152588,0.0610352
72,0,1092,1035,0.534058,0.38147,0.00762939,0.137329,35,0.0228882,0.0457764
73,0,1074,1022,0.549316,0.38147,0.00762939,0.137329,35,0.0152588,0.0457764
74,0,1083,890,0.549316,0.37384,0.00762939,0.137329,35,0.0152588,0.0457764
75,0,1065,1060,0.534058,0.404358,0.00762939,0.160217,35,0.0152588,0.0457764
76,0,1083,1023,0.549316,0.37384,0.00762939,0.144958,35,0.0152588,0.0457764
77,0,1065,947,0.564575,0.37384,0.0152588,0.137329,35,0.0152588,0.038147
78,0,1092,1017,0.526428,0.389099,0.00762939,0.137329,35,0.0152588,0.038147
79,0,1110,1025,0.526428,0.37384,0.00762939,0.137329,35,0.0152588,0.038147
80,0,1008,944,0.610352,0.38147,0.00762939,0.137329,35,0.0152588,0.0457764
81,0,956,966,0.617981,0.427246,0.00762939,0.0991821,35,0.0228882,0.0610352
82,0,1074,1075,0.526428,0.404358,0.00762939,0.0686646,35,0.0228882,0.038147
83,0,1110,1073,0.518799,0.38147,0.00762939,0.0610352,35,0.0152588,0.0457764
84,0,1129,940,0.50354,0.38147,0.00762939,0.0686646,35,0.0228882,0.0457764
85,0,1120,1075,0.495911,0.396729,0.00762939,0.0686646,35,0.0152588,0.0457764
86,-1.05559,1074,1071,0.480652,0.450134,0.00762939,0.0686646,34,0.0152588,0.0534058
87,-3.3759,1139,859,0.511169,0.366211,0.00762939,0.0915527,34,0.0152588,0.038147
88,-5.88001,1083,1095,0.442505,0.480652,0.00762939,0.0686646,35,0.0228882,0.038147
89,-4.85494,1048,1139,0.473022,0.480652,0.00762939,0.0686646,41,0.0152588,0.0610352
90,-1.818,1101,1122,0.442505,0.465393,0.00762939,0.0686646,40,0.0228882,0.0610352
91,-1.27929,1057,1048,0.549316,0.396729,0.00762939,0.137329,34,0.0152588,0.0457764
92,-4.03566,1202,1055,0.473022,0.358582,0.00762939,0.137329,34,0.0152588,0.0305176
93,-5.99754,1159,1067,0.50354,0.358582,0.00762939,0.137329,35,0.0152588,0.038147
94,-4.25389,985,863,0.617981,0.396729,0.00762939,0.167847,41,0.0152588,0.0610352
95,-1.39187,1008,995,0.526428,0.465393,0.00762939,0.144958,39,0.0152588,0.0762939
96,0,1074,1015,0.457764,0.473022,0.0152588,0.0686646,35,0.0152588,0.0610352
97,0,1101,848,0.526428,0.38147,0.00762939,0.0610352,35,0.0152588,0.0457764
98,0,1092,1028,0.541687,0.37384,0.00762939,0.0686646,35,0.0152588,0.0457764
99,0,1057,1072,0.556946,0.389099,0.00762939,0.0686646,35,0.0152588,0.0457764
100,0,1074,1000,0.572205,0.358582,0.00762939,0.0610352,35,0.0152588,0.0457764
101,0,1083,1005,0.534058,0.389099,0.00762939,0.0686646,35,0.0152588,0.0610352
102,0,1074,1030,0.526428,0.404358,0.00762939,0.137329,35,0.0152588,0.0839233
103,0,1016,1024,0.587463,0.396729,0.00762939,0.152588,35,0.0228882,0.0457764
104,0,1092,752,0.526428,0.389099,0.00762939,0.144958,35,0.0152588,0.0457764
105,0,1057,974,0.556946,0.389099,0.00762939,0.144958,35,0.0152588,0.0457764
106,0,916,1029,0.709534,0.38147,0.00762939,0.183105,35,0.0152588,0.0457764
107,0,1065,777,0.541687,0.396729,0.00762939,0.137329,35,0.0228882,0.038147
108,0,910,1005,0.63324,0.465393,0.0152588,0.144958,35,0.0152588,0.0610352
109,0,1057,1047,0.564575,0.38147,0.00762939,0.152588,35,0.0152588,0.038147
110,0,1074,852,0.541687,0.389099,0.00762939,0.144958,35,0.0152588,0.0457764
111,0,1065,1052,0.556946,0.38147,0.00762939,0.137329,35,0.0152588,0.0457764
112,0,1101,1007,0.526428,0.38147,0.00762939,0.167847,35,0.0152588,0.038147
113,0,1057,803,0.556946,0.389099,0.00762939,0.137329,35,0.0152588,0.038147
114,0,923,988,0.572205,0.511169,0.00762939,0.144958,35,0.0152588,0.0534058
115,0,1101,1069,0.534058,0.37384,0.0152588,0.0610352,35,0.0152588,0.038147
116,0,1000,948,0.541687,0.457764,0.00762939,0.0686646,35,0.0152588,0.0610352
117,0,1083,1071,0.473022,0.450134,0.00762939,0.0762939,35,0.0152588,0.0534058
118,0,1110,1062,0.534058,0.366211,0.00762939,0.0610352,35,0.0152588,0.038147
119,0,1048,862,0.541687,0.411987,0.00762939,0.0762939,35,0.0152588,0.0457764
120,-1,1180,1126,0.450134,0.396729,0.00762939,0.0686646,38,0.0152588,0.0457764
121,-1,1213,1136,0.427246,0.396729,0.00762939,0.0839233,38,0.0152588,0.0457764
122,-1,1180,1098,0.442505,0.404358,0.00762939,0.0686646,38,0.0152588,0.0610352
123,0,1101,983,0.511169,0.396729,0.00762939,0.0686646,35,0.0152588,0.0457764
124,0,1024,1061,0.610352,0.366211,0,0.106812,35,0.0152588,0.0457764
125,0,1040,1069,0.579834,0.38147,0.0152588,0.0610352,35,0.0152588,0.0610352
126,0,1074,913,0.564575,0.366211,0,0.0762939,35,0.0152588,0.0305176
127,0,1110,1069,0.50354,0.396729,0,0.106812,35,0.0152588,0.0610352
128,0,1040,1032,0.534058,0.427246,0.0152588,0.137329,35,0.0152588,0.0457764
129,0,1110,909,0.518799,0.38147,0,0.152588,35,0.0152588,0.0457764
130,0,1040,1043,0.595093,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
131,0,1057,1055,0.564575,0.38147,0,0.137329,35,0.0152588,0.0457764
132,0,1092,947,0.534058,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
133,0,910,967,0.686646,0.411987,0,0.152588,35,0.0152588,0.0610352
134,0,897,1049,0.656128,0.457764,0.0152588,0.152588,35,0.0152588,0.0610352
135,0,936,874,0.656128,0.411987,0.0152588,0.152588,35,0.0152588,0.0610352
136,0,936,1028,0.62561,0.442505,0.0152588,0.137329,35,0.0152588,0.0457764
137,0,1092,886,0.534058,0.38147,0.0152588,0.152588,35,0.0152588,0.0457764
138,0,1092,988,0.549316,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
139,0,1057,1067,0.579834,0.366211,0,0.152588,35,0.0152588,0.0457764
140,0,1129,889,0.518799,0.366211,0,0.137329,35,0.0152588,0.0305176
141,0,936,1029,0.595093,0.473022,0.0152588,0.137329,35,0.0152588,0.0762939
142,0,1057,1006,0.564575,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
143,0,978,818,0.640869,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
144,0,936,925,0.579834,0.488281,0.0152588,0.137329,35,0.0152588,0.0610352
145,0,1057,1012,0.564575,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
146,0,1074,909,0.534058,0.396729,0.0152588,0.137329,35,0.0152588,0.0457764
147,0,992,1010,0.595093,0.411987,0,0.152588,35,0.0152588,0.0610352
148,0,963,879,0.564575,0.473022,0,0.152588,35,0.0152588,0.0610352
149,0,1040,991,0.595093,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
150,0,949,1034,0.595093,0.457764,0.0152588,0.137329,35,0.0152588,0.0610352
151,0,1057,1022,0.579834,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
152,0,1040,1020,0.549316,0.411987,0,0.152588,35,0.0305176,0.0305176
153,0,829,1040,0.717163,0.488281,0,0.152588,35,0.0152588,0.0610352
154,0,1074,924,0.549316,0.38147,0,0.137329,35,0.0152588,0.0457764
155,0,851,930,0.686646,0.488281,0.0152588,0.152588,35,0.0305176,0.0610352
156,0,1074,1015,0.534058,0.396729,0,0.152588,35,0.0152588,0.0457764
157,0,1092,837,0.549316,0.366211,0.0152588,0.137329,35,0.0152588,0.0305176
158,0,1092,1038,0.534058,0.38147,0,0.137329,35,0.0152588,0.0305176
159,0,963,1051,0.564575,0.473022,0.0152588,0.152588,35,0.0152588,0.0610352
160,0,1074,924,0.564575,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
161,0,1024,1059,0.549316,0.427246,0,0.152588,35,0.0152588,0.0457764
162,0,936,1026,0.595093,0.473022,0.0152588,0.152588,35,0.0152588,0.0610352
163,0,1040,873,0.564575,0.396729,0,0.152588,35,0.0152588,0.0457764
164,0,978,1032,0.640869,0.38147,0.0152588,0.183105,35,0.0152588,0.0457764
165,0,1040,1034,0.579834,0.38147,0,0.152588,35,0.0152588,0.0457764
166,0,1074,862,0.564575,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
167,0,1040,1019,0.579834,0.38147,0.0152588,0.167847,35,0.0152588,0.0457764
168,0,1110,1028,0.50354,0.396729,0.0152588,0.137329,35,0.0152588,0.0457764
169,0,923,814,0.595093,0.488281,0,0.167847,35,0.0152588,0.0457764
170,0,1040,1008,0.595093,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
171,0,992,1019,0.62561,0.38147,0,0.137329,35,0.0152588,0.0457764
172,0,1040,994,0.564575,0.396729,0,0.152588,35,0.0305176,0.0457764
173,0,1074,900,0.564575,0.366211,0.0152588,0.137329,35,0.0152588,0.0305176
174,0,1074,1000,0.534058,0.396729,0,0.152588,35,0.0152588,0.0457764
175,0,1008,1023,0.610352,0.38147,0.0152588,0.167847,35,0.0152588,0.0457764
176,0,1040,843,0.549316,0.411987,0,0.152588,35,0.0152588,0.0457764
177,0,992,1005,0.549316,0.457764,0.0152588,0.137329,35,0.0152588,0.0610352
178,0,1110,1046,0.518799,0.38147,0,0.137329,35,0.0152588,0.0457764
179,0,1040,789,0.579834,0.38147,0.0152588,0.183105,35,0.0152588,0.0457764
180,0,936,1032,0.610352,0.457764,0,0.167847,35,0.0152588,0.0457764
181,0,1074,1017,0.534058,0.396729,0,0.137329,35,0.0152588,0.0457764
182,0,1040,914,0.579834,0.38147,0.0152588,0.0610352,35,0.0305176,0.0305176
183,0,1110,1052,0.534058,0.366211,0,0.0762939,35,0.0305176,0.0305176
184,0,1092,1069,0.549316,0.366211,0,0.0762939,35,0.0152588,0.0305176
185,0,1191,892,0.457764,0.38147,0.0152588,0.0762939,35,0.0305176,0.0305176
186,0,1074,1053,0.549316,0.38147,0,0.0762939,35,0.0152588,0.0457764
187,-1,1149,1059,0.473022,0.396729,0,0.0762939,38,0.0152588,0.0457764
188,-1,1129,1074,0.488281,0.396729,0.0152588,0.0610352,38,0.0152588,0.0457764
189,-1,1024,1007,0.534058,0.442505,0,0.0762939,38,0.0152588,0.0457764
190,0,1074,1142,0.564575,0.366211,0.0152588,0.0762939,35,0.0152588,0.0457764
191,0,1040,1054,0.534058,0.427246,0.0152588,0.0762939,35,0.0305176,0.0610352
192,0,1110,889,0.549316,0.350952,0.0152588,0.0610352,35,0.0152588,0.0305176
193,0,1092,1053,0.549316,0.366211,0,0.0762939,35,0.0152588,0.0457764
194,0,1110,1036,0.534058,0.366211,0.0152588,0.0610352,35,0.0152588,0.0457764
195,0,1092,895,0.534058,0.38147,0,0.0762939,35,0.0152588,0.0305176
196,0,1040,1019,0.579834,0.38147,0.0152588,0.137329,35,0.0152588,0.0305176
197,0,1024,1029,0.610352,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
198,0,1110,872,0.518799,0.38147,0,0.152588,35,0.0152588,0.0457764
199,0,1040,1016,0.579834,0.38147,0,0.152588,35,0.0152588,0.0457764
200,0,936,1038,0.671387,0.396729,0.0152588,0.167847,35,0.0152588,0.0457764
201,0,949,604,0.656128,0.396729,0.0152588,0.152588,35,0.0305176,0.0305176
202,0,1092,1046,0.534058,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
203,0,1074,1029,0.564575,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
204,0,1092,914,0.534058,0.38147,0.0152588,0.137329,35,0.0305176,0.0457764
205,0,923,1029,0.656128,0.427246,0.0152588,0.137329,35,0.0152588,0.0457764
206,0,1057,999,0.579834,0.366211,0.0152588,0.137329,35,0,0.0305176
207,0,949,824,0.640869,0.411987,0.0152588,0.152588,35,0.0152588,0.0457764
208,0,1110,1021,0.534058,0.366211,0,0.152588,35,0.0152588,0.0457764
209,0,1092,956,0.534058,0.38147,0.0152588,0.137329,35,0.0152588,0.0457764
210,0,1040,974,0.579834,0.38147,0,0.167847,35,0.0305176,0.0305176
211,0,1057,1035,0.534058,0.411987,0.0152588,0.137329,35,0.0152588,0.0457764
212,0,1092,990,0.549316,0.366211,0,0.137329,35,0.0152588,0.0305176
213,0,978,873,0.62561,0.396729,0,0.167847,35,0.0305176,0.0305176
214,0,963,1018,0.595093,0.442505,0.0152588,0.167847,35,0.0152588,0.0610352
215,0,1057,1045,0.564575,0.38147,0,0.167847,35,0.0152588,0.0457764
216,0,1092,971,0.549316,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
217,0,1057,1025,0.579834,0.366211,0.0152588,0.137329,35,0.0152588,0.0457764
218,0,1008,1055,0.595093,0.396729,0.0152588,0.137329,35,0.0152588,0.0457764
219,0,1092,843,0.457764,0.457764,0,0.0762939,35,0.0152588,0.0610352
220,0,1074,1040,0.564575,0.366211,0,0.0762939,35,0.0152588,0.0457764
221,0,1057,1063,0.488281,0.457764,0,0.0762939,35,0.0152588,0.0610352
222,0,1110,786,0.488281,0.411987,0.0152588,0.0610352,35,0.0152588,0.0762939
223,0,1110,1070,0.50354,0.396729,0.0152588,0.0610352,35,0.0152588,0.0457764
224,-2.03001,1191,1191,0.457764,0.38147,0,0.106812,34,0.0152588,0.0457764
225,-5.07316,1149,912,0.488281,0.38147,0.0152588,0.0610352,35,0.0305176,0.0305176
226,-5.78332,1260,1140,0.427246,0.366211,0.0152588,0.0610352,41,0.0152588,0.0457764
227,-3.10264,1170,1139,0.457764,0.396729,0,0.0762939,41,0.0305176,0.0457764
228,-1.01287,1074,1043,0.457764,0.473022,0,0.0762939,38,0.0152588,0.0610352
229,-2.6126,1092,967,0.534058,0.38147,0,0.137329,34,0.0152588,0.0457764
230,-5.52914,1129,1090,0.518799,0.366211,0,0.152588,35,0.0152588,0.0457764
231,-5.43499,1057,1065,0.579834,0.366211,0.0152588,0.152588,41,0.0305176,0.0305176
232,-2.46849,978,821,0.549316,0.473022,0.0152588,0.152588,40,0.0152588,0.0610352
233,-1.03341,992,977,0.564575,0.442505,0.0152588,0.137329,34,0.0152588,0.0457764
234,0,1074,1086,0.564575,0.366211,0,0.0762939,35,0.0152588,0.0305176
235,0,1110,929,0.50354,0.396729,0,0.0762939,35,0.0152588,0.0762939
236,0,1074,1037,0.549316,0.38147,0.0152588,0.0610352,35,0.0152588,0.0305176
237,0,1074,1099,0.549316,0.38147,0.0152588,0.0610352,35,0.0152588,0.0305176
238,0,1092,859,0.549316,0.366211,0.0152588,0.0610352,35,0.0152588,0.0305176
