Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
73,-1.30373,280,284,1.83105,1.73187,0.0228882,0.0305176,34,0.0305176,0.183105
74,-4.08006,271,258,2.13623,1.54877,0.0152588,0.0228882,34,0.038147,0.137329
75,-5.99918,293,279,2.12097,1.28174,0.0228882,0.0228882,35,0.0457764,0.190735
76,-4.21701,264,235,2.68555,1.091,0.0152588,0.0152588,41,0.038147,0.183105
77,-1.36931,261,274,2.13623,1.69373,0.0228882,0.0228882,39,0.0457764,0.190735
78,-1.6846,269,265,2.06757,1.64032,0.0152588,0.0305176,34,0.038147,0.198364
79,-4.69593,285,296,1.98364,1.51825,0.0305176,0.0762939,35,0.0457764,0.167847
80,-5.93203,336,297,1.80817,1.1673,0.0152588,0.0228882,41,0.0534058,0.152588
81,-3.55227,478,318,0.831604,1.25885,0.0152588,0.0305176,41,0.0534058,0.213623
82,-1.10135,308,246,1.90735,1.33514,0.0152588,0.0305176,39,0.0610352,0.221252
83,0,281,303,2.28882,1.25885,0.0152588,0.0762939,35,0.0457764,0.267029
84,0,251,261,2.89917,1.08337,0.0152588,0.0228882,35,0.038147,0.160217
85,0,231,286,2.73895,1.57928,0.0228882,0.0228882,35,0.0991821,0.274658
86,0,435,278,1.12152,1.17493,0.0152588,0.0228882,35,0.0457764,0.175476
87,0,304,295,2.5177,0.762939,0.00762939,0.0152588,35,0.0228882,0.0915527
88,0,255,266,2.32697,1.58691,0.0152588,0.0305176,35,0.0457764,0.473022
89,0,317,279,1.8158,1.33514,0.0152588,0.0228882,35,0.0534058,0.190735
90,0,236,278,2.21252,2.02179,0.0228882,0.0305176,35,0.0457764,0.350952
91,0,299,294,2.02942,1.31226,0.0305176,0.0305176,35,0.038147,0.167847
92,0,287,255,1.70898,1.77002,0.0457764,0.0762939,35,0.0457764,0.289917
93,0,296,234,2.6474,0.724792,0.0152588,0.0152588,35,0.0228882,0.0915527
94,0,246,272,2.66266,1.39618,0.0228882,0.0228882,35,0.0457764,0.167847
95,0,263,272,1.72424,2.0752,0.0457764,0.0610352,35,0.0686646,0.526428
96,0,319,274,1.74713,1.38092,0.0228882,0.038147,35,0.038147,0.183105
97,0,258,241,2.16675,1.70135,0.0152588,0.0305176,35,0.0457764,0.183105
98,0,236,248,2.65503,1.57928,0.0228882,0.038147,35,0.0991821,0.213623
99,0,284,358,2.83051,0.679016,0.0152588,0.00762939,35,0.0305176,0.0915527
100,0,345,219,1.6861,1.20544,0.0152588,0.0305176,35,0.0457764,0.228882
101,0,330,262,1.77765,1.24359,0.0228882,0.0228882,35,0.0534058,0.244141
102,-1,344,253,2.18964,0.717163,0.0152588,0.0152588,38,0.0305176,0.0991821
103,-1,271,264,1.25885,2.41852,0.0152588,0.0152588,38,0.038147,0.175476
104,-1,231,261,2.08282,2.22778,0.0228882,0.0305176,38,0.0457764,0.205994
105,0,249,264,2.68555,1.31989,0.0610352,0.0610352,35,0.038147,0.236511
106,0,307,263,1.95312,1.297,0.0228882,0.0152588,35,0.0457764,0.175476
107,0,241,251,2.39563,1.74713,0.0228882,0.0305176,35,0.0457764,0.198364
108,0,237,223,3.17383,1.02997,0.0305176,0.0457764,35,0.038147,0.244141
109,0,277,325,2.5177,1.091,0.0152588,0.0228882,35,0.0839233,0.137329
110,0,473,296,1.04523,1.06812,0.0152588,0.0152588,35,0.038147,0.175476
111,0,212,243,3.05939,1.64795,0.0152588,0.0228882,35,0.0534058,0.312805
112,-1,284,264,1.84631,1.66321,0.297546,0.0534058,38,0.0457764,0.289917
113,-1,322,249,1.70135,1.40381,0.0228882,0.0305176,38,0.0457764,0.221252
114,-1,291,223,1.77765,1.65558,0.0152588,0.0228882,38,0.038147,0.175476
115,0,231,285,2.6474,1.67847,0.0305176,0.0457764,35,0.0457764,0.389099
116,0,272,250,2.31934,1.3504,0.0228882,0.0457764,35,0.0457764,0.183105
117,0,451,249,1.23596,0.976562,0.0228882,0.0152588,35,0.038147,0.144958
118,0,219,289,2.73132,1.83105,0.0228882,0.0228882,35,0.0534058,0.404358
119,0,158,290,4.78363,1.54114,0.0228882,0.0305176,35,0.0534058,0.228882
120,0,262,255,2.0752,1.7395,0.0152588,0.0228882,35,0.0457764,0.297546
121,0,254,261,2.02179,1.91498,0.0228882,0.0534058,35,0.0534058,0.221252
122,0,163,254,4.44794,1.67084,0.0152588,0.0305176,35,0.0534058,0.213623
123,0,297,261,1.9989,1.36566,0.0610352,0.0457764,35,0.0534058,0.244141
124,0,287,273,2.44141,1.0376,0.0457764,0.0305176,35,0.0457764,0.183105
125,0,344,262,1.52588,1.37329,0.0152588,0.0305176,35,0.0457764,0.183105
126,0,267,244,2.45667,1.28174,0.0152588,0.0305176,35,0.0610352,0.198364
127,0,162,299,4.776,1.38855,0.0152588,0.0610352,35,0.0610352,0.198364
128,0,330,226,1.98364,1.0376,0.0152588,0.0305176,35,0.0457764,0.167847
129,0,213,258,3.82996,0.854492,0.0305176,0.0457764,35,0.0305176,0.183105
130,0,346,285,2.13623,0.747681,0.0305176,0.0152588,35,0.0305176,0.106812
131,0,222,234,2.92969,1.5564,0.0152588,0.0305176,35,0.0915527,0.228882
132,0,257,265,1.72424,2.16675,0.0152588,0.0152588,35,0.0457764,0.183105
133,0,215,260,0.656128,3.98254,0.0152588,0.0305176,35,0.0457764,0.198364
134,0,246,255,2.73132,1.32751,0.0610352,0.0457764,35,0.0457764,0.350952
135,0,242,266,3.05176,1.06812,0.0152588,0.0305176,35,0.0457764,0.152588
136,-1.6162,341,266,1.64795,1.28174,0.0305176,0.0152588,34,0.0305176,0.198364
137,-4.58891,250,291,2.18201,1.8158,0.0152588,0.0305176,34,0.0457764,0.137329
138,-5.95538,259,299,2.34985,1.51062,0.0152588,0.0305176,40,0.0610352,0.259399
139,-3.68148,247,298,2.85339,1.19019,0.0305176,0.0610352,41,0.0457764,0.305176
140,-1.13576,276,243,1.67847,1.93787,0.0152588,0.0305176,39,0.0457764,0.213623
141,-2.09407,247,298,2.76184,1.28174,0.0152588,0.0610352,34,0.0305176,0.183105
142,-5.14156,337,276,1.37329,1.58691,0.0152588,0.0305176,35,0.0457764,0.167847
143,-5.74993,262,309,2.44141,1.37329,0.0152588,0.0305176,41,0.0457764,0.152588
144,-3.02397,278,248,2.47192,1.11389,0.0152588,0.0305176,41,0.0457764,0.183105
