Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),Text Calculation (ms),Text Render (ms),Trees Count,Tree Calculation (ms),Tree Render (ms)
70,0,1956,1785,0.213623,0.297546,0,0.0534058,55,0.106812,0.0228882
71,0,2016,1880,0.244141,0.25177,0.00762939,0.0534058,55,0.0915527,0.0152588
72,0,1560,1718,0.320435,0.320435,0,0.114441,55,0.0915527,0.0228882
73,0,1724,1753,0.297546,0.282288,0,0.12207,55,0.0991821,0.0305176
74,0,1659,1591,0.312805,0.289917,0,0.114441,55,0.0991821,0.0228882
75,0,1472,1648,0.358582,0.320435,0,0.12207,55,0.114441,0.0228882
76,0,1771,1532,0.282288,0.282288,0,0.106812,55,0.0991821,0.0305176
77,0,1872,1685,0.267029,0.267029,0.00762939,0.106812,55,0.0991821,0.0152588
78,0,1618,1616,0.343323,0.274658,0.00762939,0.152588,55,0.106812,0.0152588
79,0,1659,1774,0.305176,0.297546,0.00762939,0.114441,55,0.106812,0.0228882
80,0,1472,1473,0.312805,0.366211,0,0.12207,55,0.0991821,0.0305176
81,0,1506,1666,0.358582,0.305176,0,0.114441,55,0.106812,0.0228882
82,0,1820,1659,0.274658,0.274658,0,0.106812,55,0.106812,0.0228882
83,0,1899,1723,0.282288,0.244141,0,0.114441,55,0.0915527,0.0152588
84,0,1846,1429,0.282288,0.259399,0.00762939,0.106812,55,0.0991821,0.0152588
85,0,1927,1713,0.267029,0.25177,0,0.106812,55,0.0839233,0.0228882
86,0,1618,1595,0.328064,0.289917,0.00762939,0.114441,55,0.106812,0.0152588
87,0,1560,1617,0.350952,0.289917,0,0.0610352,55,0.0915527,0.0228882
88,0,2080,1973,0.221252,0.259399,0,0.0534058,55,0.0915527,0.0228882
89,0,2016,1720,0.236511,0.259399,0.00762939,0.0457764,55,0.0839233,0.0228882
90,0,1927,1943,0.236511,0.282288,0,0.0610352,55,0.0991821,0.0152588
91,0,1846,1789,0.236511,0.305176,0,0.0534058,55,0.114441,0.0228882
92,-1,1820,1880,0.228882,0.320435,0,0.0534058,55,0.106812,0.0228882
93,-1,2016,1736,0.221252,0.274658,0,0.0534058,55,0.106812,0.0152588
94,-1,2080,1903,0.213623,0.267029,0,0.0534058,55,0.0991821,0.0152588
95,0,1846,1569,0.25177,0.289917,0,0.0534058,55,0.106812,0.0228882
96,0,1365,1871,0.358582,0.37384,0.00762939,0.0534058,55,0.137329,0.0228882
97,0,2114,1929,0.221252,0.25177,0,0.0534058,55,0.0915527,0.0228882
98,0,2016,1801,0.228882,0.267029,0,0.0534058,55,0.0915527,0.0228882
99,0,1846,1781,0.25177,0.289917,0.00762939,0.0534058,55,0.106812,0.0152588
100,0,1820,1779,0.267029,0.282288,0,0.0534058,55,0.0915527,0.0228882
101,0,1899,1918,0.236511,0.289917,0.00762939,0.0534058,55,0.106812,0.0228882
102,-1,2016,1846,0.221252,0.274658,0,0.0534058,55,0.106812,0.0228882
103,-1,1956,1730,0.213623,0.297546,0,0.0534058,55,0.106812,0.0228882
104,-1,1956,1808,0.259399,0.25177,0.00762939,0.0534058,55,0.0915527,0.0152588
105,0,1820,1938,0.244141,0.305176,0,0.0534058,55,0.106812,0.0152588
106,0,1872,1740,0.244141,0.289917,0,0.0686646,55,0.0991821,0.0228882
107,0,1795,1943,0.267029,0.289917,0.00762939,0.0534058,55,0.114441,0.0152588
108,0,1899,1865,0.25177,0.274658,0,0.0610352,55,0.0915527,0.0228882
109,0,1872,1716,0.259399,0.274658,0,0.0534058,55,0.0991821,0.0152588
110,0,1771,1772,0.289917,0.274658,0,0.106812,55,0.0991821,0.0152588
111,0,1598,1654,0.297546,0.328064,0.00762939,0.114441,55,0.152588,0.0152588
112,0,1560,1693,0.320435,0.320435,0,0.12207,55,0.106812,0.038147
113,0,1724,1736,0.312805,0.267029,0,0.12207,55,0.0991821,0.0228882
