Seconds Elapsed,Z Coordinate,FPS,Average FPS,CPU Time (ms),GPU Time (ms),3D Object Rendering (ms),Text Calculation (ms),Text Rendering (ms),Trees Count,Tree Calculation (ms),Tree Rendering (ms),Wolf Count,Sheep Count
48,-52.001,296,315,2.18964,1.18256,1.15585,0.0190735,0.0267029,30,0.0267029,0.0610352,1,117
49,-53.0019,257,324,1.11389,2.76947,2.73895,0.0305176,0.0305176,30,0.0534058,0.190735,1,139
50,-54.0013,241,288,2.20108,1.94168,1.91498,0.0267029,0.0267029,32,0.0610352,0.190735,1,162
51,-55.0025,269,323,1.17111,2.53677,2.5177,0.0190735,0.0190735,33,0.0305176,0.0724792,1,193
52,-56.0007,336,307,1.48773,1.4801,1.4534,0.0457764,0.0267029,33,0.0419617,0.1297,1,217
53,-57.0003,366,322,0.995636,1.73569,1.71661,0.0305176,0.0190735,33,0.0267029,0.0762939,1,247
54,-58.0019,277,311,1.72424,1.87683,1.84631,0.0419617,0.0305176,33,0.0572205,0.274658,1,282
55,-59.0019,271,315,1.72806,1.95312,1.92642,0.0419617,0.0267029,32,0.0457764,0.160217,1,320
56,-60.0015,257,325,1.88828,1.99509,1.88065,0.0190735,0.114441,32,0.0305176,0.0801086,1,352
57,-61.0013,245,315,2.74277,1.3237,1.30463,0.0190735,0.0190735,32,0.0267029,0.0610352,1,400
58,-62.0017,266,278,1.46484,2.285,2.26593,0.0267029,0.0190735,34,0.038147,0.087738,2,484
59,-63.0015,279,317,0.564575,3.01743,2.99454,0.0267029,0.0228882,35,0.038147,0.141144,3,562
60,-64.0029,300,304,1.14441,2.18201,2.15149,0.0228882,0.0305176,35,0.0305176,0.0915527,3,612
61,-65.0009,256,291,1.67084,2.23541,2.21252,0.0305176,0.0228882,35,0.038147,0.106812,3,668
62,-66,236,284,1.8692,2.35748,2.33459,0.0305176,0.0228882,35,0.0762939,0.175476,3,723
63,-67.0008,246,308,1.80054,2.25067,2.22015,0.0228882,0.0305176,35,0.0305176,0.0839233,3,804
64,-68.0018,247,298,1.18256,2.85339,2.83051,0.0228882,0.0228882,36,0.0305176,0.12207,4,883
65,-69.0031,268,277,1.23596,2.48718,2.46429,0.0152588,0.0228882,36,0.0305176,0.0762939,4,941
66,-70.0024,270,295,0.549316,3.15094,3.12805,0.0228882,0.0228882,35,0.0305176,0.0915527,4,1021
67,-71.0021,255,259,1.6861,2.22778,2.21252,0.0152588,0.0152588,35,0.0305176,0.0610352,4,1131
68,-72.0019,241,281,1.98364,2.15912,2.14386,0.0152588,0.0152588,36,0.0305176,0.0686646,4,1260
69,-73.0021,270,274,1.17493,2.52533,2.51007,0.0305176,0.0152588,38,0.0305176,0.0915527,4,1393
70,-74.0036,273,248,0.595093,3.06702,3.04413,0.0305176,0.0228882,38,0.0305176,0.0915527,4,1545
71,-75.003,264,262,0.602722,3.17383,3.15094,0.0152588,0.0228882,38,0.0305176,0.0839233,4,1696
72,-76.0013,234,238,0.854492,3.41797,3.39508,0.0991821,0.0228882,38,0.0305176,0.0762939,4,1854
73,-77.004,281,270,0.205994,3.3493,3.23486,0.0152588,0.114441,37,0.0305176,0.0762939,6,2008
74,-78.0001,219,232,1.44196,3.10516,3.0899,0.0228882,0.0152588,37,0.0228882,0.0991821,9,2130
75,-79.0045,256,241,0.213623,3.69263,3.67737,0.0228882,0.0152588,36,0.0228882,0.0839233,11,2138
76,-80.0021,245,247,0.434875,3.63159,3.6087,0.106812,0.0228882,37,0.0228882,0.137329,11,2172
77,-81.0009,219,263,0.610352,3.95203,3.93677,0.0152588,0.0152588,37,0.0228882,0.0610352,13,2231
78,-82.0023,186,258,2.10571,3.25775,3.23486,0.0228882,0.0228882,37,0.0305176,0.0686646,13,2173
79,-83.0002,257,245,0.732422,3.15857,3.13568,0.0305176,0.0228882,38,0.0228882,0.0610352,14,2178
80,-84.0026,231,243,0.205994,4.11224,4.09698,0.0152588,0.0152588,38,0.0305176,0.0762939,18,2138
81,-85.0033,235,234,0.823975,3.41797,3.39508,0.0228882,0.0228882,38,0.0228882,0.0839233,21,1977
82,-86.0038,235,257,0.305176,3.93677,3.92151,0.0228882,0.0152588,37,0.0305176,0.0762939,27,1725
83,-87.002,232,246,1.20544,3.0899,3.07465,0.0152588,0.0152588,35,0.0152588,0.0305176,28,1516
84,-88.0044,253,283,0.25177,3.69263,3.67737,0.0228882,0.0152588,34,0.0305176,0.0839233,31,1319
85,-89.0025,249,283,1.27411,2.73132,2.70844,0.0152588,0.0228882,34,0.0305176,0.0839233,34,1136
86,-90.0047,265,292,0.236511,3.53241,3.50952,0.0228882,0.0228882,33,0.0305176,0.0991821,37,913
87,-91.0005,237,286,1.44196,2.76184,2.74658,0.0228882,0.0152588,32,0.0305176,0.0762939,37,714
88,-92.0023,267,311,1.30463,2.43378,2.41089,0.0305176,0.0228882,31,0.0305176,0.0915527,38,523
89,-93.0005,315,307,0.25177,2.92206,2.89917,0.0305176,0.0228882,32,0.038147,0.114441,40,387
90,-94.002,254,322,1.60217,2.32697,2.30408,0.0457764,0.0228882,31,0.0457764,0.144958,41,230
91,-95.0028,279,296,1.47247,2.10571,2.06757,0.0305176,0.038147,30,0.038147,0.137329,41,133
92,-96.0017,180,308,3.74603,1.78528,1.73187,0.0534058,0.0534058,30,0.0305176,0.205994,42,68
93,-97.0025,258,302,2.05994,1.8158,1.77765,0.0610352,0.038147,31,0.038147,0.114441,42,9
94,-98.0013,255,323,2.27356,1.64032,1.6098,0.0305176,0.0305176,31,0.0457764,0.1297,41,0
95,-99.0023,299,363,1.67847,1.65558,1.6098,0.0457764,0.0457764,32,0.0457764,0.1297,34,0
96,-100.001,231,328,2.74658,1.56403,1.53351,0.038147,0.0305176,34,0.038147,0.244141,16,0
97,-101.001,271,310,2.11334,1.57166,1.54114,0.0228882,0.0305176,34,0.0457764,0.1297,6,0
98,-102,361,289,0.862122,1.90735,1.87683,0.0305176,0.0305176,32,0.0457764,0.12207,2,0
99,-103.005,365,325,0.75531,1.98364,1.96075,0.0305176,0.0228882,34,0.0457764,0.1297,2,0
100,-104.002,264,333,2.42615,1.35803,1.33514,0.0228882,0.0228882,35,0.038147,0.12207,0,0
101,-105.001,328,304,1.44958,1.59454,1.56403,0.038147,0.0305176,35,0.0457764,0.152588,0,0
102,-106.003,262,331,1.85394,1.96075,1.93787,0.038147,0.0228882,33,0.0534058,0.167847,0,0
103,-107.001,330,342,1.96075,1.06812,1.04523,0.0152588,0.0228882,33,0.0305176,0.0610352,0,0
104,-108.002,262,315,2.25067,1.5564,1.51062,0.0457764,0.0457764,33,0.0457764,0.1297,0,0
105,-109.001,270,337,2.01416,1.6861,1.65558,0.038147,0.0305176,33,0.0457764,0.144958,0,0
106,-110,370,323,1.20544,1.49536,1.47247,0.0228882,0.0228882,33,0.038147,0.0915527,0,0
107,-111.003,273,324,1.37329,2.28882,2.2583,0.0228882,0.0305176,34,0.038147,0.0915527,0,0
108,-112.002,256,341,2.75421,1.15204,1.12915,0.0305176,0.0228882,35,0.0457764,0.144958,0,0
109,-113,355,334,1.80054,1.01471,0.991821,0.0305176,0.0228882,34,0.0457764,0.152588,0,0
110,-114.002,254,334,2.83813,1.091,1.06812,0.0305176,0.0228882,36,0.0457764,0.152588,0,0
111,-115.003,266,317,1.8158,1.93787,1.90735,0.0305176,0.0305176,36,0.0686646,0.175476,0,0
112,-116.002,269,330,2.04468,1.67084,1.64032,0.0457764,0.0305176,37,0.0610352,0.190735,0,0
113,-117.001,339,302,1.3504,1.59454,1.56403,0.038147,0.0305176,38,0.0610352,0.175476,0,0
114,-118.002,260,323,2.18201,1.65558,1.61743,0.038147,0.038147,38,0.0610352,0.205994,0,0
115,-119.002,282,330,1.9455,1.59454,1.5564,0.038147,0.038147,39,0.0534058,0.167847,0,0
116,-120.001,263,314,2.85339,0.938416,0.915527,0.0305176,0.0228882,37,0.0228882,0.0762939,0,0
117,-121.003,245,307,2.31934,1.75476,1.7395,0.0228882,0.0152588,37,0.0534058,0.183105,0,0
118,-122,345,327,0.38147,2.51007,2.47955,0.038147,0.0305176,35,0.0839233,0.404358,0,0
119,-123.003,278,304,1.8158,1.77765,1.75476,0.038147,0.0228882,34,0.0534058,0.152588,0,0
120,-124.001,344,350,1.80817,1.09863,1.08337,0.0152588,0.0152588,34,0.0305176,0.0610352,0,0
121,-125.003,268,312,1.96838,1.75476,1.7395,0.0228882,0.0152588,35,0.0534058,0.0839233,0,0
122,-126,358,331,1.18256,1.6098,1.58691,0.0305176,0.0228882,35,0.0534058,0.167847,0,0
123,-127.002,276,321,2.28882,1.32751,1.30463,0.0228882,0.0228882,33,0.0457764,0.106812,0,0
